V1: index,V9: Life Satisfaction,V10: How Feels abt Neighborhood,V12: Descript of Neighbhood,V15: Satisfaction w Police,V17: Satisfaction w Schools,V20: Probs w Drugs,V21: Get along w Police,V29: Current Religion,V31: Attend Church Frequency,V33: Importance of Church,V38: How Church most Helpful,V61: R U useful person,V62: R U person of worth,V67: Freq U feel bad abt self,V68: What Makes U Feel Bad,V71: Freq feel good abt U,V72: What makes U feel good,V75: U get what you hoped for?,V76: What hoped for in Life,V78: Better to Plan or Luck,V79: Do Plans Work or Change,V99: Do U have nervous condition,V100: Do nerves keep U from work?,V110: Who helps if U sick,V125: Ever gone to Pub Health Clinic,V126: Health Clinic helpful,V140: Covered by Insurance,V142: How hard to get health care,V146: Past month had $ probs,V148: Past month had job probs,V150: Past month had Family probs,V156: Past month was crime victim,V158: Past month had police prob,V162: Past month had racial probs,V163: Racial probs upsetting?,V301: Employment Status,V314: Pay scale,V315: Pay freq,V344: Job Satisfaction,V368: Poor treatment of Blacks at work,V860: Times Moved,V884: Is Family Close,V908: Marital Status,V947: Do U have a best friend,V962: U have children,V985: How well Done w Jobs,V987: How well Done as Spouse,V988: How well done as Parent,V994: How happy R U,V1011: Freq drink or get high,V1228: Have good friend who is white,V1243: Told child about white people,V1259: Did parents teach U about whites?,V1269: Sex discrim in US real?,V1403: Birth Year,V1411: Voted in last Pres Election,V1416: Closer to Rep or Dem?,V1429: U own your home?,V1434: School Grades Finished,V1444: Edu Summary,V1451: School Grades Finished Spouse,V1470: School Grades Finished Dad,V1475: School Grades Finished Mom,V1491: Racial comp of Neighborhood,V1494: Better or worse $$,V1499: Total Family Income,V1571: Your Birth Order,V1586: Your Sex M-F
816,4: Very Dissat,2: Fairly Good,1: Most People Keep to Themselves and Dont..,4: Very Dissatisfied,2: Somewhat Satisfied,1: Very Serious,3: Not So Well,80: None; No Preference,4: A Few Times a Year,3: Not Too Important,"00: Inap,..",2: Often True,1: Almost Always True,3: Not Too Often,"00: Inap,..",3: Not Too Often,"00: Inap,..",2: Gotten less than R Hoped for,22: Health; I Have Good..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",05: (E) Mother,1: Yes,3: Only a Little,1: Yes,4: Not Hard at All,1: Yes,1: Yes,1: Yes,5: No,5: No,1: Yes,1: A Great Deal,3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",3: Not Too Close,5: Never Married,5: No,"00: Inap,..",2: Fairly Well,"0: Inap,..","0: Inap,..",3: Not Too Happy,5: Never,1: Yes,"0: Inap,..",5: No,1: Yes,1930,1: Yes,"0: Inap,..",2: Paying Rent,9,"31: 9 Grades, No Other ..",16,98: DK,6,1: All Blacks,3: Worse,"05: $3,000-3,999",50: Last Born; Youngest,1: Male
817,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,1: Very Satisfied,2: Somewhat Satisfied,1: Very Serious,2: Fairly Well,63: Jehovahs Witnesses,2: At Least Once a Week - 1 to 3 Times,1: Very Important,"71: Transportation (Except for Children, Code..",1: Almost Always True,1: Almost Always True,2: Fairly Often,11: Physical Appearance; Unattractive; Too..,2: Fairly Often,52: Helping Others/Altruism; R Giving..,1: Gotten Mostly What R Hoped for,52: See God; Hope for Life after Death; Meet..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",09: (I) Friend,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,1: Married,1: Yes,2,2: Fairly Well,1: Very Well,1: Very Well,1: Very Happy,5: Never,1: Yes,1: Yes,"0: Inap,..",1: Yes,1954,5: No,3: Neither,2: Paying Rent,12: Grade 12,"52: 12 Grades, Completed High School; ..",11,98: DK,12: 12 Years,2: Mostly Blacks,1: Better,"15: $20,000-24,999",4,2: Female
818,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,1: Very Satisfied,8: DK,1: Very Well,80: None; No Preference,"0: Inap,..","0: Inap,..","00: Inap,..",1: Almost Always True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,52: Helping Others/Altruism; R Giving..,1: Gotten Mostly What R Hoped for,42: Help/Love/Care for Others; Do Things for..,2: Too Much Luck to Plan,5: R Does Not Plan Ahead,5: No,"0: Inap,..",06: (F) Brother,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,4: Widowed,5: No,2,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,"0: Inap,..",1: Yes,1: Yes,"0: Inap,..",1: Yes,1910,1: Yes,"0: Inap,..",1: Own Home or Buying it,6,"11: 1-6 Grades, No Other Schooling; Grade ..",99: NA,98: DK,98: DK,2: Mostly Blacks,1: Better,99: NA,50: Last Born; Youngest,1: Male
819,3: Some Dissat,2: Fairly Good,3: Most People Talk or Visit a Lot with the..,4: Very Dissatisfied,1: Very Satisfied,3: Not Too Serious,2: Fairly Well,62: Holiness,4: A Few Times a Year,1: Very Important,73: Prayers; Pray for Me; Help in Spiritual..,2: Often True,1: Almost Always True,3: Not Too Often,"00: Inap,..",1: Very Often,16: General or Overall Self-Images: Im a..,2: Gotten less than R Hoped for,13: Specific Material Things (Excluding 15);..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",05: (E) Mother,1: Yes,1: A Great Deal,1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,"0: Inap,..",1: Very Close,5: Never Married,1: Yes,01: One Child,2: Fairly Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,5: No,5: No,"0: Inap,..",1: Yes,1957,5: No,"0: Inap,..",2: Paying Rent,11,"42: 10-11 Grades, plus Non-College Training; ..","96: Inap,..",12: 12 Years,12: 12 Years,1: All Blacks,1: Better,"04: $2,000-2,999",01: First Born,2: Female
820,1: Very Satisf,1: Very Good,2: Some People Keep to Themselves but Others..,1: Very Satisfied,1: Very Satisfied,8: DK,1: Very Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,90: Help Given If/When/Because Ive Been Sick ..,1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,52: Helping Others/Altruism; R Giving..,1: Gotten Mostly What R Hoped for,11: Home Ownership; Buy a House; My Own Home;..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",06: (F) Brother,1: Yes,3: Only a Little,1: Yes,2: Fairly Hard,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: One Time,2: Fairly Close,4: Widowed,5: No,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",2: Pretty Happy,5: Never,1: Yes,"0: Inap,..",1: Yes,1: Yes,1913,1: Yes,"0: Inap,..",2: Paying Rent,6,"11: 1-6 Grades, No Other Schooling; Grade ..","96: Inap,..",99: NA,98: DK,2: Mostly Blacks,2: Same,"04: $2,000-2,999",15,2: Female
821,2: Some Satisf,2: Fairly Good,3: Most People Talk or Visit a Lot with the..,3: Somewhat Dissatisfied,4: Very Dissatisfied,2: Fairly Serious,8: DK,0,"0: Inap,..","0: Inap,..","00: Inap,..",2: Often True,2: Often True,1: Very Often,21: General or Overall Dissatisfaction; Lack..,1: Very Often,"21: General Satisfaction, Accomplishments,..",1: Gotten Mostly What R Hoped for,11: Home Ownership; Buy a House; My Own Home;..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",05: (E) Mother,1: Yes,1: A Great Deal,1: Yes,4: Not Hard at All,1: Yes,1: Yes,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,1: Yes,"0: Inap,..",1: Very Close,5: Never Married,5: No,01: One Child,2: Fairly Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,5: No,5: No,"0: Inap,..",1: Yes,1960,5: No,3: Neither,2: Paying Rent,13: College,"71: Some College (1-3 Years), No Degree (..","96: Inap,..",98: DK,11,2: Mostly Blacks,1: Better,"15: $20,000-24,999",01: First Born,1: Male
822,3: Some Dissat,2: Fairly Good,1: Most People Keep to Themselves and Dont..,1: Very Satisfied,1: Very Satisfied,1: Very Serious,2: Fairly Well,62: Holiness,1: Nearly Everyday - 4 or More Times a Week,1: Very Important,"00: Inap,..",1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",2: Fairly Often,16: General or Overall Self-Images: Im a..,1: Gotten Mostly What R Hoped for,51: Lead a Moral Life; Lead a Good ..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,1: Yes,1: A Great Deal,1: Yes,3: Not Too Hard,1: Yes,1: Yes,5: No,5: No,5: No,1: Yes,4: Not at All,1: Working Now,"0000000: Inap,..","0: Inap,..",3: Somewhat Dissatisfied,1: Yes,"0: Inap,..",2: Fairly Close,1: Married,1: Yes,2,1: Very Well,1: Very Well,1: Very Well,2: Pretty Happy,5: Never,5: No,1: Yes,"0: Inap,..",1: Yes,1936,5: No,"0: Inap,..",1: Own Home or Buying it,12: Grade 12,"52: 12 Grades, Completed High School; ..",12: Grade 12,00: None,10,1: All Blacks,3: Worse,"14: $15,000-19,999",50: Last Born; Youngest,1: Male
823,1: Very Satisf,1: Very Good,1: Most People Keep to Themselves and Dont..,1: Very Satisfied,8: DK,8: DK,1: Very Well,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,1: Very Important,41: Financial Aid General or Unspecified;..,1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",1: Very Often,16: General or Overall Self-Images: Im a..,1: Gotten Mostly What R Hoped for,11: Home Ownership; Buy a House; My Own Home;..,2: Too Much Luck to Plan,1: Carry out Way Expected,5: No,"0: Inap,..",07: (G) Sister,5: No,"0: Inap,..",1: Yes,3: Not Too Hard,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,4: Widowed,5: No,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",1: Very Happy,"0: Inap,..",1: Yes,"0: Inap,..",1: Yes,8: DK,1917,5: No,8: DK,1: Own Home or Buying it,3,"11: 1-6 Grades, No Other Schooling; Grade ..","96: Inap,..",98: DK,98: DK,2: Mostly Blacks,1: Better,"03: $1,000-1,999",3,2: Female
824,1: Very Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,4: Very Dissatisfied,3: Somewhat Dissatisfied,1: Very Serious,1: Very Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,73: Prayers; Pray for Me; Help in Spiritual..,1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",2: Fairly Often,51: Positive Relations/Getting along with..,1: Gotten Mostly What R Hoped for,30: Love of My Family (And Friends); Respect..,1: Plan Ahead,1: Carry out Way Expected,1: Yes,2: Only a Little,01: (A) Husband/Wife/Partner,1: Yes,1: A Great Deal,1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,1: Married,1: Yes,3,1: Very Well,1: Very Well,1: Very Well,2: Pretty Happy,5: Never,1: Yes,1: Yes,"0: Inap,..",5: No,1910,1: Yes,"0: Inap,..",1: Own Home or Buying it,12: Grade 12,"62: 12 Grades, Completed High School; ..",10,98: DK,98: DK,2: Mostly Blacks,1: Better,"12: $10,000-11,999",50: Last Born; Youngest,2: Female
825,2: Some Satisf,1: Very Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,1: Very Satisfied,1: Very Serious,2: Fairly Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,"00: Inap,..",2: Often True,3: Not Often True,1: Very Often,61: General Relations with Family; My..,2: Fairly Often,61: General Relations with Family My..,1: Gotten Mostly What R Hoped for,32: Children/Family; Watch Children Grow up;..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",05: (E) Mother,1: Yes,2: A Lot,1: Yes,4: Not Hard at All,5: No,5: No,1: Yes,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,1: Yes,6,4: Not Close at All,1: Married,1: Yes,2,2: Fairly Well,2: Fairly Well,1: Very Well,2: Pretty Happy,5: Never,1: Yes,1: Yes,"0: Inap,..",1: Yes,1948,1: Yes,"0: Inap,..",1: Own Home or Buying it,12: Grade 12,"71: Some College (1-3 Years), No Degree (..",12: Grade 12,98: DK,9,4: Mostly Whites,1: Better,"16: $25,000-29,999",50: Last Born; Youngest,2: Female
826,1: Very Satisf,1: Very Good,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,1: Very Satisfied,3: Not Too Serious,2: Fairly Well,29: Sanctified,1: Nearly Everyday - 4 or More Times a Week,1: Very Important,73: Prayers; Pray for Me; Help in Spiritual..,1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",2: Fairly Often,71: Religion/God My Religion Makes Me Feel..,1: Gotten Mostly What R Hoped for,22: Health; I Have Good..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,1: Yes,"0: Inap,..",1: Very Close,1: Married,5: No,4,2: Fairly Well,2: Fairly Well,1: Very Well,1: Very Happy,"0: Inap,..",1: Yes,5: No,"0: Inap,..",5: No,1949,1: Yes,"0: Inap,..",1: Own Home or Buying it,13: College,"71: Some College (1-3 Years), No Degree (..",13: College,6,10,2: Mostly Blacks,1: Better,"14: $15,000-19,999",5,1: Male
827,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,4: Very Dissatisfied,2: Fairly Serious,2: Fairly Well,"14: Methodist, (Except Code 11)",2: At Least Once a Week - 1 to 3 Times,2: Fairly Important,"03: Encouragement, Moral Support, Comfort,..",1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",1: Very Often,32: Financial; Amount of Money I Can Make;..,1: Gotten Mostly What R Hoped for,31: Marriage (Children or Family Not..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",07: (G) Sister,5: No,"0: Inap,..",1: Yes,3: Not Too Hard,1: Yes,5: No,1: Yes,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,6,1: Very Close,4: Widowed,1: Yes,01: One Child,2: Fairly Well,"0: Inap,..",1: Very Well,2: Pretty Happy,3: Not Too Often,1: Yes,5: No,"0: Inap,..",1: Yes,1932,1: Yes,"0: Inap,..",1: Own Home or Buying it,16,"81: Bachelors Degree (Except LLB, JD): BS, ..","96: Inap,..",6,9,4: Mostly Whites,2: Same,"07: $5,000-5,999",50: Last Born; Youngest,2: Female
828,2: Some Satisf,9: NA,8: DK,2: Somewhat Satisfied,8: DK,8: DK,8: DK,80: None; No Preference,"0: Inap,..","0: Inap,..","00: Inap,..",2: Often True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",2: Fairly Often,61: General Relations with Family My..,9: NA,0,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,1: Yes,5: No,1: Yes,2: A Lot,1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,1: One Time,2: Fairly Close,1: Married,1: Yes,2,2: Fairly Well,2: Fairly Well,2: Fairly Well,2: Pretty Happy,3: Not Too Often,1: Yes,5: No,"0: Inap,..",1: Yes,1954,1: Yes,2: Democratic,1: Own Home or Buying it,14,"71: Some College (1-3 Years), No Degree (..",12: Grade 12,12: 12 Years,12: 12 Years,4: Mostly Whites,1: Better,"17: $30,000 or More",2,1: Male
829,2: Some Satisf,1: Very Good,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,2: Somewhat Satisfied,4: Not Serious at All,1: Very Well,63: Jehovahs Witnesses,2: At Least Once a Week - 1 to 3 Times,1: Very Important,"00: Inap,..",2: Often True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,61: General Relations with Family My..,1: Gotten Mostly What R Hoped for,52: See God; Hope for Life after Death; Meet..,2: Too Much Luck to Plan,1: Carry out Way Expected,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,1: Yes,2: A Lot,1: Yes,3: Not Too Hard,5: No,5: No,5: No,5: No,5: No,1: Yes,2: A Lot,1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,"0: Inap,..",1: Very Close,1: Married,5: No,6,1: Very Well,2: Fairly Well,2: Fairly Well,2: Pretty Happy,5: Never,5: No,5: No,"0: Inap,..",1: Yes,1942,5: No,"0: Inap,..",1: Own Home or Buying it,00: None,00: No Schooling or less than One ..,8,98: DK,98: DK,1: All Blacks,2: Same,"10: $8,000-8,999",01: First Born,1: Male
830,4: Very Dissat,1: Very Good,3: Most People Talk or Visit a Lot with the..,4: Very Dissatisfied,3: Somewhat Dissatisfied,4: Not Serious at All,2: Fairly Well,80: None; No Preference,5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,2: Often True,5: Never,"00: Inap,..",1: Very Often,42: Survival/Longevity One Thing I Am..,1: Gotten Mostly What R Hoped for,26: Happiness; No Worries; Have Fun; Enjoy..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",05: (E) Mother,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,1: Yes,5: No,1: Yes,1: Yes,5: No,1: Yes,4: Not at All,1: Working Now,"0000000: Inap,..","0: Inap,..",3: Somewhat Dissatisfied,1: Yes,"0: Inap,..",1: Very Close,1: Married,1: Yes,4,1: Very Well,1: Very Well,1: Very Well,2: Pretty Happy,1: Very Often,5: No,1: Yes,"0: Inap,..",5: No,1943,1: Yes,2: Democratic,1: Own Home or Buying it,12: Grade 12,"71: Some College (1-3 Years), No Degree (..",11,98: DK,8,2: Mostly Blacks,1: Better,"15: $20,000-24,999",3,1: Male
831,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,1: Very Satisfied,2: Somewhat Satisfied,4: Not Serious at All,2: Fairly Well,05: Presbyterian,5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",2: Fairly Often,51: Positive Relations/Getting along with..,2: Gotten less than R Hoped for,11: Home Ownership; Buy a House; My Own Home;..,1: Plan Ahead,1: Carry out Way Expected,1: Yes,3: Not at All,05: (E) Mother,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,1: Yes,3,2: Fairly Close,3: Separated,1: Yes,01: One Child,1: Very Well,"0: Inap,..",1: Very Well,3: Not Too Happy,4: Hardly Ever,1: Yes,5: No,"0: Inap,..",1: Yes,1946,5: No,"0: Inap,..",2: Paying Rent,12: Grade 12,"52: 12 Grades, Completed High School; ..","96: Inap,..",10,12: 12 Years,2: Mostly Blacks,1: Better,"15: $20,000-24,999",01: First Born,1: Male
832,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,2: Somewhat Satisfied,3: Not Too Serious,4: Not Well at All,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,3: Not Too Important,22: Give/Bring/Buys Food; Provide Meals ..,2: Often True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,33: Material Goods Getting a House/Things I..,2: Gotten less than R Hoped for,03: Education,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",06: (F) Brother,5: No,"0: Inap,..",5: No,1: Very Hard,1: Yes,1: Yes,1: Yes,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",3: Somewhat Dissatisfied,1: Yes,7: Seven Times or More,3: Not Too Close,5: Never Married,5: No,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",3: Not Too Happy,5: Never,1: Yes,"0: Inap,..",5: No,5: No,1961,5: No,"0: Inap,..",3: Home Provided as Part of Job,11,"32: 10-11 Grades, No Other Schooling: or ..","96: Inap,..",12: 12 Years,98: DK,2: Mostly Blacks,1: Better,"08: $6,000-6,999",3,1: Male
833,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,3: Somewhat Dissatisfied,2: Somewhat Satisfied,2: Fairly Serious,2: Fairly Well,"14: Methodist, (Except Code 11)",3: A Few Times a Month - 1 to 3 Times,2: Fairly Important,"00: Inap,..",1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,15: Personal Characteristics (Which Do Not..,1: Gotten Mostly What R Hoped for,31: Marriage (Children or Family Not..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",03: (C) Daughter/Stepdaughter,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,1: Yes,1: Yes,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,4,2: Fairly Close,2: Divorced,1: Yes,2,2: Fairly Well,"0: Inap,..",2: Fairly Well,2: Pretty Happy,5: Never,1: Yes,5: No,"0: Inap,..",1: Yes,1919,1: Yes,"0: Inap,..",1: Own Home or Buying it,15,"71: Some College (1-3 Years), No Degree (..","96: Inap,..",12: 12 Years,12: 12 Years,2: Mostly Blacks,1: Better,"12: $10,000-11,999",2,2: Female
834,2: Some Satisf,2: Fairly Good,3: Most People Talk or Visit a Lot with the..,1: Very Satisfied,1: Very Satisfied,8: DK,2: Fairly Well,"14: Methodist, (Except Code 11)",3: A Few Times a Month - 1 to 3 Times,1: Very Important,02: Companionship; Someone to Do Things With;..,1: Almost Always True,2: Often True,4: Hardly Ever,"00: Inap,..",1: Very Often,34: Employment Am Working; Have a..,1: Gotten Mostly What R Hoped for,22: Health; I Have Good..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",02: (B) Son/Stepson,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,"0: Inap,..",1: Very Close,2: Divorced,1: Yes,3,2: Fairly Well,"0: Inap,..",1: Very Well,2: Pretty Happy,"0: Inap,..",1: Yes,1: Yes,"0: Inap,..",5: No,1919,1: Yes,"0: Inap,..",2: Paying Rent,8,"22: 7-8 Grades, plus Non-College ..",99: NA,8,8,2: Mostly Blacks,1: Better,"06: $4,000-4,999",5,2: Female
835,1: Very Satisf,2: Fairly Good,3: Most People Talk or Visit a Lot with the..,2: Somewhat Satisfied,2: Somewhat Satisfied,3: Not Too Serious,2: Fairly Well,51: Roman Catholic; Catholic,1: Nearly Everyday - 4 or More Times a Week,1: Very Important,"00: Inap,..",2: Often True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,52: Helping Others/Altruism; R Giving..,1: Gotten Mostly What R Hoped for,"04: Job Good/Better; Job I Like, Including..",2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",07: (G) Sister,1: Yes,1: A Great Deal,1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,5: Never Married,5: No,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",2: Pretty Happy,"0: Inap,..",1: Yes,"0: Inap,..",5: No,1: Yes,1909,5: No,"0: Inap,..",2: Paying Rent,9,"51: 11 Grades or Less, but High School ..","96: Inap,..",12: 12 Years,7,9: NA; DK,2: Same,"05: $3,000-3,999",3,2: Female
836,3: Some Dissat,2: Fairly Good,1: Most People Keep to Themselves and Dont..,4: Very Dissatisfied,3: Somewhat Dissatisfied,1: Very Serious,4: Not Well at All,"12: Baptist, NA Type",5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,1: Almost Always True,1: Very Often,21: General or Overall Dissatisfaction; Lack..,3: Not Too Often,"00: Inap,..",2: Gotten less than R Hoped for,41: Friends; Have Friends; Be Liked by..,2: Too Much Luck to Plan,2: Have to Change Plans,1: Yes,3: Not at All,0,1: Yes,1: A Great Deal,1: Yes,2: Fairly Hard,1: Yes,1: Yes,5: No,5: No,5: No,9: NA,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: One Time,4: Not Close at All,4: Widowed,9: NA,14,1: Very Well,"0: Inap,..",1: Very Well,3: Not Too Happy,1: Very Often,5: No,5: No,"0: Inap,..",1: Yes,1924,1: Yes,2: Democratic,2: Paying Rent,9,"41: 9 Grades, plus Non-College ..",99: NA,98: DK,98: DK,1: All Blacks,3: Worse,"14: $15,000-19,999",3,1: Male
837,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,1: Very Satisfied,8: DK,1: Very Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,41: Financial Aid General or Unspecified;..,1: Almost Always True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,61: General Relations with Family My..,1: Gotten Mostly What R Hoped for,32: Children/Family; Watch Children Grow up;..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,1: Yes,1: A Great Deal,5: No,2: Fairly Hard,1: Yes,5: No,5: No,5: No,5: No,1: Yes,9: NA,1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,8: DK,2: Fairly Close,1: Married,5: No,13,1: Very Well,1: Very Well,1: Very Well,1: Very Happy,1: Very Often,1: Yes,1: Yes,"0: Inap,..",5: No,1925,1: Yes,"0: Inap,..",1: Own Home or Buying it,11,"42: 10-11 Grades, plus Non-College Training; ..",10,98: DK,9,1: All Blacks,1: Better,"08: $6,000-6,999",01: First Born,2: Female
